y,u1,u2,u3,u4
0,0.444594746,-0.445060606,-0.16543311,-0.444325093
0,0.444594555,-0.445060349,-0.16543829,-0.444323842
0,0.444593603,-0.445059065,-0.16546419,-0.444317588
0,0.444588841,-0.44505264,-0.16559369,-0.444286317
0,0.444565032,-0.445020517,-0.166241186,-0.444129962
0,0.444449053,-0.444864043,-0.169394812,-0.443368419
0,0.44431477,-0.444682956,-0.173040971,-0.442487782
0,0.444165548,-0.444482025,-0.177073811,-0.441513206
0,0.443963376,-0.444210862,-0.182471357,-0.440206946
0,0.44368037,-0.44383487,-0.189804431,-0.438425889
0,0.443265515,-0.443295135,-0.199847813,-0.435965799
0,0.442640934,-0.442514423,-0.213002477,-0.432681989
0,0.441656367,-0.441358805,-0.229124148,-0.428492022
0,0.439977712,-0.439540345,-0.247330226,-0.423335004
0,0.437077783,-0.436642108,-0.264093927,-0.417579795
0,0.435869096,-0.435484262,-0.268106987,-0.415822488
0,0.432809377,-0.431735582,-0.328190944,-0.400683597
0,0.429686795,-0.427944552,-0.387402953,-0.385685262
0,0.424878064,-0.422222922,-0.471451295,-0.364115063
0,0.418470414,-0.414883263,-0.565980654,-0.339107297
0,0.408822097,-0.404416445,-0.672456302,-0.309122896
0,0.393200564,-0.388519022,-0.780900776,-0.274275186
0,0.366403665,-0.364719051,-0.757202093,-0.259520364
0,0.362165826,-0.362656971,-0.65051187,-0.279281183
0,0.356170334,-0.359766039,-0.498833334,-0.307442367
0,0.350090518,-0.357029726,-0.334810955,-0.338277018
0,0.344874701,-0.355293346,-0.160015114,-0.372199407
0,0.343483399,-0.35669861,-0.005563368,-0.404669158
0,0.344158478,-0.357804381,0.023315517,-0.411428557
0,0.34248883,-0.355387513,-0.033026931,-0.39817071
0,0.341370378,-0.353342545,-0.095787565,-0.383879844
0,0.340218551,-0.350670973,-0.192011233,-0.362241761
0,0.338766192,-0.347420317,-0.301608031,-0.337229616
0,0.335500173,-0.342188594,-0.421547751,-0.308094173
0,0.328934708,-0.334240787,-0.513909696,-0.281807389
0,0.327109698,-0.33278181,-0.487597656,-0.285303923
0,0.324884227,-0.331052695,-0.455283683,-0.289766712
0,0.321266548,-0.328276001,-0.402928795,-0.297104024
0,0.316905874,-0.324919178,-0.340721624,-0.305771355
0,0.31201245,-0.321048716,-0.273044677,-0.314818716
0,0.310447813,-0.319755242,-0.252166574,-0.317407553
0,0.310228583,-0.320102484,-0.205075182,-0.326595164
0,0.310355681,-0.320683329,-0.162956473,-0.334982156
0,0.311369936,-0.322139617,-0.108634824,-0.346232355
0,0.314103861,-0.324947633,-0.060549979,-0.357100378
0,0.32006956,-0.330278222,-0.024034741,-0.367216996
0,0.323958884,-0.334104371,0.011799827,-0.376887489
0,0.32812511,-0.338117242,0.044414085,-0.386039318
0,0.335217425,-0.344768104,0.087461505,-0.399025503
0,0.345230682,-0.353867543,0.127771376,-0.413122405
0,0.359143883,-0.366173334,0.159717186,-0.42774011
0,0.362624971,-0.368366186,0.119179065,-0.420709582
0,0.366128116,-0.370573927,0.078452549,-0.413648754
0,0.371183593,-0.373747676,0.020485156,-0.403548954
0,0.376436439,-0.377001822,-0.037534165,-0.393269629
0,0.381506849,-0.380024731,-0.088922921,-0.383706729
0,0.383003495,-0.380853252,-0.102193122,-0.380982732
0,0.383183025,-0.38021022,-0.133649933,-0.373439119
0,0.382916982,-0.379266652,-0.160032389,-0.366712552
0,0.381553,-0.37712959,-0.191438954,-0.357707809
0,0.378314032,-0.373415599,-0.214083118,-0.349101049
0,0.373185553,-0.368268422,-0.222865549,-0.342211416
0,0.370949936,-0.366399857,-0.204405621,-0.344013636
0,0.368584569,-0.364443788,-0.185140095,-0.345945625
0,0.364874565,-0.361370314,-0.156727014,-0.348667778
0,0.360618671,-0.357768991,-0.128736456,-0.350804051
0,0.35781468,-0.355304071,-0.114162201,-0.351289802
0,0.35564815,-0.353077035,-0.123232594,-0.347345656
0,0.35361494,-0.350939994,-0.133455347,-0.343216179
0,0.350442947,-0.347578818,-0.148931739,-0.336761562
0,0.346193809,-0.343136478,-0.163092337,-0.32936837
0,0.343496606,-0.340370467,-0.16772969,-0.325550593
0,0.339457743,-0.336309414,-0.168359184,-0.321112636
0,0.335288564,-0.332160625,-0.165210739,-0.31728343
0,0.329991719,-0.326903574,-0.158536527,-0.312894083
0,0.327598108,-0.324523026,-0.155078056,-0.310965827
0,0.326847641,-0.324196929,-0.119472855,-0.317282309
0,0.326187068,-0.323931464,-0.084928157,-0.323428032
0,0.32557252,-0.323791273,-0.037471943,-0.331958052
0,0.325748222,-0.324253911,0.009443605,-0.340627287
0,0.327819122,-0.326127659,0.050751143,-0.34882403
0,0.326625062,-0.323971184,-0.001282032,-0.336063786
0,0.325490811,-0.321855127,-0.053748564,-0.323234007
0,0.32355775,-0.318517294,-0.128720249,-0.304565316
0,0.320335347,-0.313878741,-0.205917705,-0.284139986
0,0.313837294,-0.306143039,-0.279747813,-0.261377222
0,0.307674029,-0.299586037,-0.311225361,-0.248524451
0,0.306622183,-0.299409931,-0.248741224,-0.260314432
0,0.305392027,-0.299113509,-0.184063064,-0.272457528
0,0.303612301,-0.29871148,-0.088883211,-0.290371225
0,0.302203822,-0.298720459,0.013874322,-0.310025824
0,0.302366093,-0.300121032,0.121664771,-0.33156784
0,0.305041315,-0.303187432,0.191471271,-0.346899629
0,0.309754993,-0.308764657,0.286335385,-0.369950476
0,0.315009502,-0.314706596,0.374060061,-0.391851568
0,0.323620152,-0.323918882,0.48339966,-0.42049764
0,0.336740862,-0.337084918,0.592985831,-0.452140375
0,0.418054967,-0.409061618,0.672845285,-0.520556436
0,0.442945358,-0.430119977,0.643438308,-0.529669392
0,0.465890242,-0.449711256,0.628424616,-0.540597638
0,0.469158207,-0.450134573,0.493311584,-0.513066642
0,0.472104875,-0.450341229,0.362045686,-0.486155245
0,0.475390892,-0.449908693,0.180851654,-0.448389276
0,0.476831863,-0.447721096,-0.002957886,-0.408546071
0,0.473759885,-0.441419029,-0.184463835,-0.365601537
0,0.462563688,-0.428714329,-0.312680629,-0.328243768
0,0.460069887,-0.427502927,-0.241644996,-0.341207425
0,0.456901043,-0.425836116,-0.163606707,-0.355298314
0,0.45174681,-0.423051934,-0.046451131,-0.376406726
0,0.445867037,-0.419927878,0.0837434,-0.400099557
0,0.440185884,-0.417237575,0.219078279,-0.425592609
0,0.438149496,-0.416706132,0.285111426,-0.438956075
0,0.438926125,-0.418598541,0.347320509,-0.453411367
0,0.440641379,-0.421124053,0.396995098,-0.465848507
0,0.445224581,-0.426377577,0.4520181,-0.481720827
0,0.454039525,-0.435095474,0.488820768,-0.496638191
0,0.463152462,-0.443520466,0.500204609,-0.505860779
0,0.470938368,-0.450369191,0.493255391,-0.509922091
0,0.47913908,-0.457497599,0.484095928,-0.513627115
0,0.492583375,-0.469132183,0.471196378,-0.519873895
0,0.507674694,-0.482241584,0.463983697,-0.528216452
0,0.515742074,-0.48917313,0.456139657,-0.531786306
0,0.523532716,-0.495917845,0.450864949,-0.535769314
0,0.535263277,-0.506198888,0.447403694,-0.542894779
0,0.546278061,-0.516010692,0.448145338,-0.550741047
0,0.551008778,-0.519991057,0.432107388,-0.550719511
0,0.555519063,-0.523822657,0.417219682,-0.550882943
0,0.562152564,-0.529561364,0.397790822,-0.551855964
0,0.569711064,-0.536320455,0.381659759,-0.55464609
0,0.571739992,-0.538184292,0.37860566,-0.555761059
0,0.56684876,-0.528838785,-0.213761184,-0.440781382
0,0.558719765,-0.52125179,-0.246667446,-0.428659401
0,0.553999822,-0.517983662,-0.201181501,-0.435709149
0,0.548981992,-0.514514584,-0.152200756,-0.443321518
0,0.541142571,-0.509095661,-0.076897533,-0.455020813
0,0.532338292,-0.502997141,0.002277108,-0.467250205
0,0.522587936,-0.49619981,0.076320795,-0.478456999
0,0.519675663,-0.494151572,0.093613978,-0.480969588
0,0.514981568,-0.489479386,0.048944445,-0.468893151
0,0.510584006,-0.485007326,0.000967051,-0.456284481
0,0.503843868,-0.478105955,-0.073800069,-0.436608142
0,0.4950906,-0.46931425,-0.154496301,-0.414250126
0,0.481260555,-0.455992213,-0.234990979,-0.388337184
0,0.477485529,-0.452452416,-0.249313734,-0.382808724
